"V1" "V2" "V3"
-3.80259893985277 -41.2736914559696 -7.2746242780364
-17.4453963968489 -39.0325011677212 -7.2530962228775
-2.73136689703343 -53.2703007196976 -3.92234796588704
-17.6349889482771 -40.4113180977958 -3.12573371274131
-12.6039610968696 -42.4248758951823 -3.55588619797318
-13.9611273793613 -44.7963200737448 -3.4835749093224
-2.12067548253319 -49.1233223134821 -6.12135281887921
-18.2973071537661 -31.2697608390551 -7.1798952777734
-21.8941647010513 -47.2509381258035 -4.92222288590443
-2.10414065702541 -52.0089987677497 -4.23411030382723
-1.69275784309094 -43.5987395066481 -4.14456780507014
-16.5785081863403 -43.9273764928182 -3.17570992708206
-8.19487830400467 -33.4294076442718 -7.60695210695267
-3.58370271073766 -51.4807090299675 -6.71535161029862
-3.30477251397802 -37.708723879875 -7.3682466162012
-10.4485196571846 -23.5710163859578 -7.41518008244502
-0.614327319472739 -48.1937040310462 -5.06133934595052
-0.653717638254166 -32.8909477742513 -5.37490788141886
-17.2661517858505 -24.7634766995907 -4.41347754746675
-15.0945263429122 -42.1885298989036 -3.30751209259033
-13.8931279904915 -27.5319073609631 -3.86941958677889
-9.55060621517808 -18.0362852580512 -4.88163394358621
-0.287582241608021 -42.0709686635811 -5.34937229780393
-12.7270295279367 -60.9841012954712 -5.60588843481881
-21.1221589388913 -35.8826934082867 -6.25031885382247
-17.7379654620556 -32.9958575634246 -7.24361532799741
-5.44522128105164 -32.4620916128159 -7.54385471343994
-20.4601672001374 -38.9380740141257 -6.99618260677044
-16.3422462940216 -47.7876536051432 -3.22436796426773
-16.1130385802964 -50.4581633099055 -3.11572852781263
-3.4695432804249 -59.7028345649625 -3.81753077330413
-6.00108566650978 -20.9976549882155 -4.88752746582031
-20.4603239186605 -36.988321685791 -6.76900641759237
-14.4807954161134 -57.9489979156076 -3.42600176432361
-10.0191041161032 -40.6946139167337 -3.69176075037788
-8.48555209776934 -48.3423482109519 -6.96283758948831
-6.8619722802955 -22.3618526688541 -4.55978039086583
-9.12631808536153 -48.0040090319136 -3.49027785784762
-4.55726527142268 -42.9645304936235 -7.24275931491647
-2.95030231909318 -27.2113782998287 -6.55888419440298
-15.9681611061096 -27.2197558220397 -7.20845056594686
